Breed,Age,Sex,Symptoms,ICD
말티즈,0,M,코로나바이러스 감염,특정 감염성 또는 기생충성 질병
웰시코기,1,M,코로나바이러스 감염,특정 감염성 또는 기생충성 질병
치와와,1,M,코로나바이러스 감염,특정 감염성 또는 기생충성 질병
미니어처 핀셔,1,F,코로나바이러스 감염,특정 감염성 또는 기생충성 질병
푸들,1,M,코로나바이러스 감염,특정 감염성 또는 기생충성 질병
푸들,1,F,코로나바이러스 감염,특정 감염성 또는 기생충성 질병
말티즈,1,M,코로나바이러스 감염,특정 감염성 또는 기생충성 질병
말티즈,1,M,코로나바이러스 감염,특정 감염성 또는 기생충성 질병
래브라도 리트리버,1,F,코로나바이러스 감염,특정 감염성 또는 기생충성 질병
믹스,1,M,코로나바이러스 감염,특정 감염성 또는 기생충성 질병
진돗개,1,F,코로나바이러스 감염,특정 감염성 또는 기생충성 질병
푸들,1,M,코로나바이러스 감염,특정 감염성 또는 기생충성 질병
말티즈,3,M,코로나바이러스 감염,특정 감염성 또는 기생충성 질병
믹스,1,F,코로나바이러스 감염,특정 감염성 또는 기생충성 질병
진돗개,1,M,코로나바이러스 감염,특정 감염성 또는 기생충성 질병
포메라니안,4,M,코로나바이러스 감염,특정 감염성 또는 기생충성 질병
닥스훈트,0,F,코로나바이러스 감염,특정 감염성 또는 기생충성 질병
코커스패니얼,10,M,디스템퍼 바이러스 감염,특정 감염성 또는 기생충성 질병
치와와,1,F,디스템퍼 바이러스 감염,특정 감염성 또는 기생충성 질병
웰시코기,1,M,디스템퍼 바이러스 감염,특정 감염성 또는 기생충성 질병
푸들,1,F,디스템퍼 바이러스 감염,특정 감염성 또는 기생충성 질병
푸들,1,F,디스템퍼 바이러스 감염,특정 감염성 또는 기생충성 질병
푸들,1,F,디스템퍼 바이러스 감염,특정 감염성 또는 기생충성 질병
프렌치 불독,2,F,디스템퍼 바이러스 감염,특정 감염성 또는 기생충성 질병
포메라니안,4,M,디스템퍼 바이러스 감염,특정 감염성 또는 기생충성 질병
포메라니안,4,M,디스템퍼 바이러스 감염,특정 감염성 또는 기생충성 질병
말티즈,5,M,디스템퍼 바이러스 감염,특정 감염성 또는 기생충성 질병
말티즈,6,M,디스템퍼 바이러스 감염,특정 감염성 또는 기생충성 질병
시추,9,F,디스템퍼 바이러스 감염,특정 감염성 또는 기생충성 질병
진돗개,1,F,체외 기생충,특정 감염성 또는 기생충성 질병
진돗개,1,M,체외 기생충,특정 감염성 또는 기생충성 질병
진돗개,1,M,체외 기생충,특정 감염성 또는 기생충성 질병
푸들,3,M,체외 기생충,특정 감염성 또는 기생충성 질병
삽살개,1,F,체외 기생충,특정 감염성 또는 기생충성 질병
보스턴 테리어,1,M,체외 기생충,특정 감염성 또는 기생충성 질병
포메라니안,2,F,체외 기생충,특정 감염성 또는 기생충성 질병
푸들,3,M,체외 기생충,특정 감염성 또는 기생충성 질병
포메라니안,5,F,체외 기생충,특정 감염성 또는 기생충성 질병
코커스패니얼,13,M,체외 기생충,특정 감염성 또는 기생충성 질병
진돗개,14,M,체외 기생충,특정 감염성 또는 기생충성 질병
믹스,0,F,체내 기생충,특정 감염성 또는 기생충성 질병
풍산개,0,M,체내 기생충,특정 감염성 또는 기생충성 질병
웰시코기,0,M,체내 기생충,특정 감염성 또는 기생충성 질병
믹스,1,M,체내 기생충,특정 감염성 또는 기생충성 질병
풍산개,1,F,체내 기생충,특정 감염성 또는 기생충성 질병
샤페이,1,M,체내 기생충,특정 감염성 또는 기생충성 질병
골든 리트리버,1,M,체내 기생충,특정 감염성 또는 기생충성 질병
골든 리트리버,1,M,체내 기생충,특정 감염성 또는 기생충성 질병
웰시코기,1,F,체내 기생충,특정 감염성 또는 기생충성 질병
골든 리트리버,1,M,체내 기생충,특정 감염성 또는 기생충성 질병
프렌치 불독,1,M,체내 기생충,특정 감염성 또는 기생충성 질병
믹스,1,M,체내 기생충,특정 감염성 또는 기생충성 질병
믹스,1,M,체내 기생충,특정 감염성 또는 기생충성 질병
믹스,1,M,체내 기생충,특정 감염성 또는 기생충성 질병
진돗개,1,M,체내 기생충,특정 감염성 또는 기생충성 질병
시베리안 허스키,1,F,체내 기생충,특정 감염성 또는 기생충성 질병
믹스,1,M,체내 기생충,특정 감염성 또는 기생충성 질병
믹스,1,F,체내 기생충,특정 감염성 또는 기생충성 질병
닥스훈트,1,M,체내 기생충,특정 감염성 또는 기생충성 질병
진돗개,1,M,체내 기생충,특정 감염성 또는 기생충성 질병
그레이하운드,2,M,체내 기생충,특정 감염성 또는 기생충성 질병
푸들,2,M,체내 기생충,특정 감염성 또는 기생충성 질병
푸들,2,F,체내 기생충,특정 감염성 또는 기생충성 질병
사모예드,0,M,체내 기생충,특정 감염성 또는 기생충성 질병
푸들,3,M,체내 기생충,특정 감염성 또는 기생충성 질병
푸들,10,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
코커스패니얼,13,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
푸들,13,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
진돗개,14,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
미니어처 핀셔,15,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
미니어처 핀셔,15,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
믹스,16,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
믹스,16,F,심장 사상충 감염,특정 감염성 또는 기생충성 질병
프렌치 불독,1,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
말티즈,1,F,심장 사상충 감염,특정 감염성 또는 기생충성 질병
말티즈,1,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
보스턴 테리어,1,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
치와와,1,F,심장 사상충 감염,특정 감염성 또는 기생충성 질병
포메라니안,2,F,심장 사상충 감염,특정 감염성 또는 기생충성 질병
푸들,2,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
푸들,2,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
코커스패니얼,2,F,심장 사상충 감염,특정 감염성 또는 기생충성 질병
말티즈,2,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
푸들,2,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
벨기에 테뷰런,2,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
믹스,3,F,심장 사상충 감염,특정 감염성 또는 기생충성 질병
푸들,3,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
믹스,3,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
말티즈,3,F,심장 사상충 감염,특정 감염성 또는 기생충성 질병
시추,3,F,심장 사상충 감염,특정 감염성 또는 기생충성 질병
