입력,증상
디스크,강아지 디스크
강아지가 디스크에 걸렸어요,강아지 디스크
디스크에 걸렸어요,강아지 디스크
디스크 치료,강아지 디스크
강아지 디스크,강아지 디스크
거위기침을 해요,거위 기침
기침소리가 이상해요,거위 기침
기침이 거위 울음소리 같아요,거위 기침
거위 울음소리가 나요,거위 기침
기침이 거위소리같아요,거위 기침
딸국질을 해요,거위 기침
거위 기침,거위 기침
거품토를 해요,건조한 구토
거품토,건조한 구토
거품토를 함,건조한 구토
안구 출혈,결막 외상
눈이 뭐에 찔림,결막 외상
눈이 가시에 찔림,결막 외상
눈이 나무에 찔림,결막 외상
눈이 나무에 찔렸어요,결막 외상
눈이 찢어졌어요,결막 외상
눈이 찢어짐,결막 외상
눈이 뭐에 찔렸어요,결막 외상
몸이 뜨거워요,고열
체온이 높음,고열
고열인거 같아요,고열
몸이 뜨거움,고열
고혈압이 있어요,고혈압
혈압이 높아요,고혈압
고혈압이 있음,고혈압
과한 호흡,과 호흡
호흡이 과해요,과 호흡
호흡이 빨라요,과 호흡
과호흡을 해요,과 호흡
과호흡,과 호흡
호흡이 많이 빨라요,과 호흡
땀띠,구진
사마귀,구진
여드름,구진
물사마귀,구진
비립종,구진
입냄새,구취
입냄새가 심해요,구취
입냄새가 심함,구취
입에서 악취,구취
입에서 악취가 나요,구취
입에서 악취가 남,구취
구취가 심해요,구취
구취가 심함,구취
토를 합니다,구토
구토를 함,구토
토를 해요,구토
구토를 해요,구토
토했어요,구토
토 했어요,구토
토,구토
구토를 했어요,구토
토혈,구토
토를 함,구토
토를 했어요,구토
구토를 합니다,구토
귀를 가려워합니다,귀 가려움증
귀를 긁음,귀 가려움증
귀를 긁어요,귀 가려움증
귀 가려움,귀 가려움증
귀를 가려워해요,귀 가려움증
귀에 뭐가 났어요,귀 구진
귀에 좁쌀같이 뭐가 났어요,귀 구진
귀에 자잘하게 뭐가 났어요,귀 구진
귀에 이물질이 들어갔어요,귀 내부 이물질
귀에 이물질 들어감,귀 내부 이물질
귀에 이물질이 들어감,귀 내부 이물질
귀에 뭐가 들어갔어요,귀 내부 이물질
귀에 뭐가 들어감,귀 내부 이물질
귀에 이물질,귀 내부 이물질
귀에 피가 차올라요,귀 혈종
이개혈종,귀 혈종
귀에 피가 차오름,귀 혈종
귀에 빨간 반점이 생겼어요,귀 홍반
귀에 빨간 반점,귀 홍반
귀에 빨간 반점이 있어요,귀 홍반
귀지가 많아요,귀지 과다
귀지가 넘쳐요,귀지 과다
귀지가 너무 많아요,귀지 과다
귀지가 많음,귀지 과다
귀지가 과하게 많아요,귀지 과다
균형을 못 잡아요,균형 상실
균형을 잃어요,균형 상실
균형을 잃음,균형 상실
균형을 못 잡음,균형 상실
균형 감각을 잃은거 같아요,균형 상실
근육이 굳고 발작을 일으킴,근육 강직성 경련
근육이 굳고 발작을 해요,근육 강직성 경련
근육이 굳고 경련을 일으켜요,근육 강직성 경련
근육이 굳고 경련을 일으킴,근육 강직성 경련
근육이 굳고 발작을 함,근육 강직성 경련
근육 강직성 경련을 일으켜요,근육 강직성 경련
근육이 굳으면서 경련을 일으켜요,근육 강직성 경련
다리 근육이 떨려요,근육 떨림
다리 근육이 떨림,근육 떨림
근육이 떨려요,근육 떨림
근육이 떨림,근육 떨림
다리 근육이 쪼그라 들었어요,근육 수축
다리 근육이 수축됬어요,근육 수축
다리 근육이 수축됨,근육 수축
근육에 통증을 느끼는거 같아요,근육통
근육통이 있어요,근육통
근육통을 느껴요,근육통
기침을 해요,기침 과다
기침을 많이 해요,기침 과다
기침,기침 과다
기침을 함,기침 과다
기침을 많이 함,기침 과다
기형이 있음,기형
기형이 있어요,기형
벌침에 쏘였어요,꿀벌의 침
벌에 쏘임,꿀벌의 침
벌침에 쏘임,꿀벌의 침
벌에 쏘였어요,꿀벌의 침
소변색이 초록색이에요,녹색 소변
녹색쉬야,녹색 소변
오줌이 녹색이에요,녹색 소변
녹색오줌,녹색 소변
소변이 녹색이에요,녹색 소변
여드름,농포
여드름이 있음,농포
여드름이 생김,농포
여드름이 생겼어요,농포
여드름이 있어요,농포
여드름이 났어요,농포
여드름 남,농포
피지종,농포
피부 종양,농피증
눈 긁음,눈 가려움
눈가려움,눈 가려움
눈을 긁힘,눈 가려움
눈을 긁음,눈 가려움
눈을 긁어요,눈 가려움
눈을 긁혔어요,눈 가려움
눈을 가려워해요,눈 가려움
눈을 가려워함,눈 가려움
눈 가려움증,눈 가려움
안구 가려움,눈 가려움
안구 가려움증,눈 가려움
눈 아래쪽 뾰루지,눈 주위 뾰루지
눈 위쪽 뾰루지,눈 주위 뾰루지
눈 옆 뾰루지,눈 주위 뾰루지
눈 안쪽 검은색,눈 주위 뾰루지
오줌량 급증,다뇨
오줌량이 많아짐,다뇨
소변량 급증,다뇨
소변량이 많아짐,다뇨
오줌을 많이 싸요,다뇨
쉬를 많이 싸요,다뇨
눈에 다래끼,다래끼
눈에 다래끼가 생김,다래끼
다래끼가 생겼어요,다래끼
다래끼가 생김,다래끼
눈에 다래끼가 났어요,다래끼
눈에 다래끼가 남,다래끼
눈에 다래끼가 생겼어요,다래끼
다래끼가 남,다래끼
뒷다리 통증,다리 통증
낑낑거림,다리 통증
다리 통증,다리 통증
다리통증,다리 통증
낑낑거려요,다리 통증
낑낑거려요,다리 통증
앞다리 통증,다리 통증
담에 걸린거 같음,담
담 걸린거 같음,담
담에 걸린거 같아요,담
담 걸린거 같아요,담
머리를 기울여요,머리 기울임
머리를 기울임,머리 기울임
머리를 비틀어요,머리 기울임
머리를 꺽어요,머리 기울임
목을 꺽어요,머리 기울임
머리를 떨어요,머리 떨림
머리를 흔들어요,머리 떨림
머리가 다쳤어요,머리 외상
머리가 찢어졌어요,머리 외상
머리를 다쳤어요,머리 외상
머리를 다침,머리 외상
머리가 찢어짐,머리 외상
머리가 다침,머리 외상
두부외상,머리 외상
두부 외상,머리 외상
머리에서 피가나요,머리 외상
머리 출혈,머리 외상
