입력,증상
코로나인거 같아요,코로나바이러스 감염
코로나인 것 같아요,코로나바이러스 감염
코로나에 걸림,코로나바이러스 감염
코로나에 걸렸어요,코로나바이러스 감염
기생충에 물렸어요,체외 기생충
기생충에 물림,체외 기생충
기생충,체외 기생충
이가 부러졌어요,치아 골절
이빨이 부러졌어요,치아 골절
이빨이 부러짐,치아 골절
치아가 부러짐,치아 골절
치아가 부러졌어요,치아 골절
이빨 골절,치아 골절
기형이 있음,기형
기형이 있어요,기형
빈혈이 있음,빈혈증
빈혈기가 있음,빈혈증
빈혈기,빈혈증
빈혈이 있어요,빈혈증
부정맥을 진단받음,부정맥
부정맥을 진단받았어요,부정맥
부정맥이 있음,부정맥
부정맥이 있어요,부정맥
고혈압,혈압
혈압이 이상해요,혈압
고혈압이 있어요,혈압
혈압이 이상함,혈압
혈압이 높아요,혈압
복부가 볼록해요,복부 팽창
복부가 부풀어 오름,복부 팽창
복부팽만,복부 팽창
복부 팽만,복부 팽창
복부가 부풀어 올랐어요,복부 팽창
배가 볼록해요,복부 팽창
배가 부풀어 오름,복부 팽창
배가 부풀어 올랐어요,복부 팽창
배가 부었어요,복부 팽창
배가 아파 보임,복부 통증
배가 아파 보여요,복부 통증
복부에 통증이 있는듯,복부 통증
배에 통증,복부 통증
배가 아파 보임,복부 통증
항문에 피가 남,항문 출혈
항문에 피가 나요,항문 출혈
항문에서 피가 나요,항문 출혈
항문에서 피가 남,항문 출혈
변비가 있어요,변비
변비 증상,변비
변비가 있음,변비
설사를 함,설사
변이 묽어요,설사
묽은 변,설사
점액변,설사
설사를 해요,설사
토를 함,구토
구토를 했어요,구토
토를 했어요,구토
구토를 합니다,구토
토를 합니다,구토
토혈,구토
구토를 해요,구토
귀를 가려워해요,귀 가려움증
귀를 긁음,귀 가려움증
귀를 긁어요,귀 가려움증
귀 가려움,귀 가려움증
귀를 가려워합니다,귀 가려움증
소변을 잘 못 봐요,배뇨 곤란
배뇨곤란이 있어요,배뇨 곤란
배뇨곤란이 있음,배뇨 곤란
배뇨 곤란이 있음,배뇨 곤란
배뇨 관련 증상,배뇨 곤란
배뇨관련 증상,배뇨 곤란
소변을 잘 못 봄,배뇨 곤란
배뇨 장애,배뇨 곤란
배뇨장애,배뇨 곤란
소변 농,배뇨 곤란
소변 불순물,배뇨 곤란
소변에 불순물이 섞여있어요,배뇨 곤란
배뇨 곤란이 있어요,배뇨 곤란
소변이 녹색이에요,녹색 소변
녹색쉬야,녹색 소변
녹색오줌,녹색 소변
오줌이 녹색이에요,녹색 소변
소변색이 초록색이에요,녹색 소변
혈뇨를 합니다,혈뇨
혈뇨를 함,혈뇨
혈뇨를 했음,혈뇨
혈뇨를 해요,혈뇨
소변에 피가 있어요,혈뇨
혈뇨를 했어요,혈뇨
혈뇨증상이 있어요,혈뇨
소변에서 피가 나와요,혈뇨
빈뇨가 심해요,빈뇨증
쉬를 자주 싸요,빈뇨증
오줌을 자주 싸요,빈뇨증
소변을 자주 봐요,빈뇨증
소변횟수가 증가,빈뇨증
소변을 많이 봐요,빈뇨증
빈뇨,빈뇨증
쉬를 많이 싸요,빈뇨증
소변량 급증,다뇨증
오줌량 급증,다뇨증
소변량이 많아짐,다뇨증
오줌량이 많아짐,다뇨증
다뇨,다뇨증
오줌을 많이 싸요,다뇨증
오줌을 흘려요,요실금
배뇨실금,요실금
오줌을 찔끔찔끔 지림,요실금
다리를 절어요,절름발이
걸음걸이가 이상해요,절름발이
